country,weight,isin
Japan,0.1963,IE0006WW1TQ4
United Kingdom,0.1263,IE0006WW1TQ4
Canada,0.0963,IE0006WW1TQ4
France,0.0946,IE0006WW1TQ4
Switzerland,0.0888,IE0006WW1TQ4
Germany,0.0877,IE0006WW1TQ4
Australia,0.0576999999999999,IE0006WW1TQ4
Netherlands,0.0447,IE0006WW1TQ4
Sweden,0.0276,IE0006WW1TQ4
Other,0.18,IE0006WW1TQ4
United States,0.1902,IE00B3F81409
Japan,0.099,IE00B3F81409
China,0.0698,IE00B3F81409
France,0.0347,IE00B3F81409
United Kingdom,0.0287,IE00B3F81409
Germany,0.0253,IE00B3F81409
Ireland,0.025,IE00B3F81409
Canada,0.0199,IE00B3F81409
Italy,0.0194,IE00B3F81409
Other,0.488,IE00B3F81409
United States,0.9564,IE00B5BMR087
Ireland,0.0143,IE00B5BMR087
Other,0.0293,IE00B5BMR087
China,0.2748,IE00BTJRMP35
India,0.1798,IE00BTJRMP35
Taiwan,0.1632999999999999,IE00BTJRMP35
South Korea,0.093,IE00BTJRMP35
Brazil,0.0447,IE00BTJRMP35
Saudi Arabia,0.0391,IE00BTJRMP35
South Africa,0.0222,IE00BTJRMP35
Mexico,0.0187999999999999,IE00BTJRMP35
United Arab Emirates,0.0138,IE00BTJRMP35
Other,0.1505,IE00BTJRMP35
